id,customer_id,ordered_time,served_time,completed_time,amount_paid,rcoins_used,status
0,422,'2021-06-01 10:00:00','2021-06-01 10:10:00','2021-06-01 11:03:00',231,958,'order-completed'
1,495,'2021-06-01 10:18:00','2021-06-01 10:29:00','2021-06-01 11:23:00',279,757,'order-completed'
2,920,'2021-06-01 10:34:00','2021-06-01 10:46:00','2021-06-01 11:34:00',259,565,'order-completed'
3,839,'2021-06-01 11:54:00','2021-06-01 12:08:00','2021-06-01 13:00:00',389,760,'order-completed'
4,71,'2021-06-01 12:11:00','2021-06-01 12:26:00','2021-06-01 13:23:00',259,861,'order-completed'
5,450,'2021-06-01 12:29:00','2021-06-01 12:42:00','2021-06-01 13:32:00',1418,102,'order-completed'
6,261,'2021-06-01 13:49:00','2021-06-01 14:00:00','2021-06-01 14:47:00',414,972,'order-completed'
7,165,'2021-06-01 14:09:00','2021-06-01 14:23:00','2021-06-01 15:22:00',351,255,'order-completed'
8,867,'2021-06-01 14:28:00','2021-06-01 14:40:00','2021-06-01 15:31:00',9,904,'order-completed'
9,603,'2021-06-01 15:48:00','2021-06-01 16:03:00','2021-06-01 17:00:00',49,790,'order-completed'
10,660,'2021-06-01 16:06:00','2021-06-01 16:20:00','2021-06-01 17:19:00',916,87,'order-completed'
11,193,'2021-06-01 16:26:00','2021-06-01 16:41:00','2021-06-01 17:39:00',300,12,'order-completed'
12,168,'2021-06-01 17:46:00','2021-06-01 17:58:00','2021-06-01 18:53:00',72,672,'order-completed'
13,434,'2021-06-01 18:03:00','2021-06-01 18:16:00','2021-06-01 19:05:00',332,682,'order-completed'
14,448,'2021-06-01 18:23:00','2021-06-01 18:38:00','2021-06-01 19:33:00',362,860,'order-completed'
15,7,'2021-06-01 19:43:00','2021-06-01 19:55:00','2021-06-01 20:48:00',103,1643,'order-completed'
16,60,'2021-06-01 19:59:00','2021-06-01 20:10:00','2021-06-01 20:58:00',499,72,'order-completed'
17,490,'2021-06-01 20:18:00','2021-06-01 20:32:00','2021-06-01 21:32:00',592,152,'order-completed'
18,164,'2021-06-01 21:38:00','2021-06-01 21:50:00','2021-06-01 22:44:00',289,1844,'order-completed'
19,373,'2021-06-01 21:55:00','2021-06-01 22:05:00','2021-06-01 23:02:00',935,409,'order-completed'
20,312,'2021-06-01 22:10:00','2021-06-01 22:22:00','2021-06-01 23:13:00',40,1422,'order-completed'
21,189,'2021-06-01 23:30:00','2021-06-01 23:41:00','2021-06-02 00:41:00',379,1094,'order-completed'
22,86,'2021-06-01 23:50:00','2021-06-02 00:04:00','2021-06-02 00:58:00',498,548,'order-completed'
23,812,'2021-06-02 00:05:00','2021-06-02 00:19:00','2021-06-02 01:18:00',728,54,'order-completed'
24,679,'2021-06-02 01:25:00','2021-06-02 01:35:00','2021-06-02 02:24:00',385,272,'order-completed'
25,772,'2021-06-02 01:40:00','2021-06-02 01:53:00','2021-06-02 02:46:00',483,259,'order-completed'
26,123,'2021-06-02 01:58:00','2021-06-02 02:09:00','2021-06-02 03:07:00',353,1060,'order-completed'
27,883,'2021-06-02 03:18:00','2021-06-02 03:33:00','2021-06-02 04:31:00',515,305,'order-completed'
28,478,'2021-06-02 03:38:00','2021-06-02 03:52:00','2021-06-02 04:41:00',602,668,'order-completed'
29,725,'2021-06-02 03:53:00','2021-06-02 04:08:00','2021-06-02 05:06:00',360,777,'order-completed'
30,854,'2021-06-02 05:13:00','2021-06-02 05:24:00','2021-06-02 06:14:00',179,1077,'order-completed'
31,383,'2021-06-02 05:30:00','2021-06-02 05:43:00','2021-06-02 06:29:00',583,905,'order-completed'
32,629,'2021-06-02 05:50:00','2021-06-02 06:03:00','2021-06-02 06:48:00',795,488,'order-completed'
33,106,'2021-06-02 07:10:00','2021-06-02 07:22:00','2021-06-02 08:17:00',1162,7,'order-completed'
34,445,'2021-06-02 07:26:00','2021-06-02 07:37:00','2021-06-02 08:37:00',243,746,'order-completed'
35,428,'2021-06-02 07:43:00','2021-06-02 07:58:00','2021-06-02 08:44:00',200,902,'order-completed'
36,599,'2021-06-02 09:03:00','2021-06-02 09:18:00','2021-06-02 10:13:00',1089,18,'order-completed'
37,356,'2021-06-02 09:19:00','2021-06-02 09:32:00','2021-06-02 10:17:00',1194,322,'order-completed'
38,883,'2021-06-02 09:37:00','2021-06-02 09:51:00','2021-06-02 10:37:00',327,1709,'order-completed'
39,649,'2021-06-02 10:57:00','2021-06-02 11:11:00','2021-06-02 12:09:00',642,423,'order-completed'
40,839,'2021-06-02 11:15:00','2021-06-02 11:27:00','2021-06-02 12:24:00',502,718,'order-completed'
41,334,'2021-06-02 11:32:00','2021-06-02 11:45:00','2021-06-02 12:32:00',603,294,'order-completed'
42,995,'2021-06-02 12:52:00','2021-06-02 13:06:00','2021-06-02 13:54:00',265,409,'order-completed'
43,870,'2021-06-02 13:11:00','2021-06-02 13:21:00','2021-06-02 14:13:00',591,359,'order-completed'
44,43,'2021-06-02 13:29:00','2021-06-02 13:40:00','2021-06-02 14:32:00',121,1207,'order-completed'
