order_id,item_id,stars,review
1,7,1,'bowwuecfjerxfioisdqvtybjxjuntcmemngomqahgrgpblwehkzszbdvrfclzxpxdkwitayhvyspkhtnsauuqdamrqylcvojzifk'
2,7,5,'pcvuhluqmvqtrqzbiygznetmvkstkbcbdxrjmjclwegxfcnmusrxyshweleyfoioydbapfqkxlwrtaksnogzfjwvagihddahupzj'
4,5,5,'eioyfzmgkmcpgzmvlvcwurxptqnirhbprdmlkvjqqjcfwiewoibsdsgzkjxeyuodstxbnbvaljsqtroypdnhfytanawahzuxulec'
5,0,1,'cxqkglbsgvemmhwaxgjusxdeucnookdnshlakqkbfyvtyjfdvtuwqiayobpdznwriemtcpralbohivxwgpmzisujecnphytrzrfj'
7,7,4,'riatzejdsvqkahtjznklotbhqjqxqbvyuyrbpgcmceowiyzonxvdefpgcvyfkblgaiwjsgumiorduxnepwsxhruzmpslmfwdhnak'
7,0,2,'htabxezbnozxkppjrydvzfilpzngqudywwkbfaxeumvcgdpeegkarcutsnfujaixotshdjsorvrqtwcbcwlfmogijvhhylmnqmsl'
7,1,5,'hiyyvypoariluevnfmbzlofsseptknxzajkbggzdcqcjwljsftpnimxgrqwqreluavdgvhtkfxdemwrqdyihscoocjtxzpbbunkw'
8,7,5,'tjawkhpquhtvvimnrsilbccairejxdnfdoxqzujekokzzsofsyehrguynmnjpografbxqgeluqtbcpvmvsfztwligxbckyhwwalm'
8,1,5,'bandvdctgsasydswntqwtryumkqilzuvreynvolazcyfspwxvmmhpczokfxgjbuhejewiphrjictxzbofdmflnpergbliuxqgkko'
9,8,2,'ulkmuhbykzqvgjvgwptblhfnhaibdpscikooxmuaasoisgfmwkqpnxrbwqjnxurxihyctvseltpydnzgemycrffvtzwoqlaejcdz'
10,6,4,'krhoglkcfrguschhqfwmnjitajtnqmywyeezpkzxezpldvuspudjgdnmdkforsmxvrivcbopbwxuyiacwlnqibxqtgazbsvafyhj'
10,0,5,'kbdfvvkpwaaplvcamxehcrglycfeqljsgdgfrkwdxhmjubwalvjouorinmbiztfonjxmpzeryuqtkpqghtotsyisxcznydbsezhi'
12,4,5,'owpjhoyxkqbmcwtgejfrtiseqqvtgzvsaediqgafbmuhgzfyjsocwadpvvtwnrzxikenxprldljkyxbimblucuasyomnhnzhrflk'
12,7,2,'vzmjsdxeprdaeodifufczylmkasryewscrvznqklcvwiszybgnkohpmqalgthtuxuwnhnfpxlpowgfqajvqmxkboehbttycijgbr'
13,4,1,'fhqnbtevoichyvzkqcivwboiwpygxrvlputzadpqyxaartbssimyokkdndxschwesuljmrrmgjejuofdunzlqkgaebfmfptjhclw'
13,8,1,'scwlmiwpniqzdldufkjinzynthxuagybrhmkevoabsbdvkcfzsursfpmpycmotrwtahpehlojawfezqunojvebxrltkgqdgigxvy'
15,7,3,'iweanrznogznqdtzsgzhitmcuxiyeklcsluowoavppmpfjdtkagafhrbfdchuobjerxgqvshfrkcbmmkwtsqnlvubijywqjdxley'
15,6,5,'ifgzlsuljzevkbvxxmsyahqeqnivyluefjurboopgndlwngniqyqatsrstycefmrcpkcxhfpubboxdmzkwagtakhotvpwhdjjwmc'
15,0,1,'idfxhpmpekgrrqhbmocucmaumizwojpqohnjeepbafwsxtcwavaggkjzvidvnsvygtnyklwsusbdrntyjzultecxdfhbfzqirxll'
